id,titulo_original,titulo_revisado,autor,afiliação,orcid,key_file
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Margarida Almeida,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",https://orcid.org/0000-0003-1507-3125,21494-2102-17421-1-10-20220825
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Daniel Pereira,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21494-2102-17421-1-10-20220825
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Nelson J. Muga,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. ",https://orcid.org/0000-0003-4412-8025,21494-2102-17421-1-10-20220825
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Margarida Facão,"Department of Physics and I3N, University of Aveiro, Campus Universitário de Santiago, 3810-193, Aveiro, Portugal",https://orcid.org/0000-0002-2417-6743,21494-2102-17421-1-10-20220825
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Armando N.Pinto,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21494-2102-17421-1-10-20220825
16,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,Nuno A. Silva,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",https://orcid.org/0000-0002-1061-1716,21494-2102-17421-1-10-20220825
17,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a Polarization-encoding Quantum Key Distribution System,Sara T. Mantey,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",https://orcid.org/0009-0003-1968-1360,21495-2102-17422-1-10-20220825
17,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a Polarization-encoding Quantum Key Distribution System,Mariana F. Ramos,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21495-2102-17422-1-10-20220825
17,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a Polarization-encoding Quantum Key Distribution System,Nuno A. Silva,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",https://orcid.org/0000-0002-1061-1716,21495-2102-17422-1-10-20220825
17,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a Polarization-encoding Quantum Key Distribution System,Armando N.Pinto,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21495-2102-17422-1-10-20220825
17,Demonstration of a PolarizationDemonstration of a Polarization--encoding Quantum Key encoding Quantum Key Distribution SystemDistribution System,Demonstration of a Polarization-encoding Quantum Key Distribution System,Nelson J. Muga,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. ",https://orcid.org/0000-0003-4412-8025,21495-2102-17422-1-10-20220825
18,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Daniel Pereira,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21493-2102-17420-1-10-20220825
18,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Nuno A. Silva,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",https://orcid.org/0000-0002-1061-1716,21493-2102-17420-1-10-20220825
18,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,Armando N.Pinto,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21493-2102-17420-1-10-20220825
19,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,Arthur Pimentel,Universidade Federal do Pará (UFPA),,29824-157-24265-1-10-20240808
19,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,Diego Abreu,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-3969-8322,29824-157-24265-1-10-20240808
19,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,Antônio Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,29824-157-24265-1-10-20240808
20,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Waldemir Cambiucci,Departamento de Engenharia de Computação e Sistemas Digitais Universidade de São Paulo (USP) – São Paulo – SP – Brasil,https://orcid.org/0000-0002-8334-1358,30007-2546-24447-1-10-20240828
20,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Regina Melo Silveira,Departamento de Engenharia de Computação e Sistemas Digitais Universidade de São Paulo (USP) – São Paulo – SP – Brasil,https://orcid.org/0000-0003-0059-6310,30007-2546-24447-1-10-20240828
20,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,Wilson Vicente Ruggiero ,Departamento de Engenharia de Computação e Sistemas Digitais Universidade de São Paulo (USP) – São Paulo – SP – Brasil,https://orcid.org/0000-0003-3612-3937,30007-2546-24447-1-10-20240828
